Cliente	Anio	Mes	Minutos_Trabajados
5	2014	02	304
5	2014	04	279
5	2014	06	241
5	2014	08	221
5	2014	10	218
5	2014	12	255
5	2015	02	309
5	2015	04	296
5	2015	06	250
5	2015	08	247
5	2015	10	267
5	2015	12	279
5	2016	02	299
5	2016	04	177
5	2016	06	162
5	2016	08	145
5	2016	10	158
5	2016	12	173
5	2017	02	182
5	2017	04	201
5	2017	06	147
5	2017	08	142
5	2017	10	138
5	2017	12	259
5	2018	02	278
5	2018	04	239
5	2018	06	169
5	2018	08	188
5	2018	10	197
5	2018	12	200
5	2019	02	213
5	2019	04	215
5	2019	06	203
5	2019	08	204
5	2019	10	166
5	2019	12	218
5	2020	02	280
5	2020	03	126
5	2020	04	126
5	2020	06	147
5	2020	07	93
5	2020	08	94
5	2020	09	94
5	2020	10	95
5	2020	11	102
5	2020	12	103
5	2021	01	162
5	2021	02	163
5	2021	03	113
5	2021	04	113
9	2014	02	559
9	2014	04	572
9	2014	06	505
9	2014	08	518
9	2014	10	500
9	2014	12	488
9	2015	02	675
9	2015	04	562
9	2015	06	486
9	2015	08	540
9	2015	10	483
9	2015	12	474
9	2016	02	617
9	2016	04	530
9	2016	06	470
9	2016	08	514
9	2016	10	509
9	2016	12	481
9	2017	02	649
9	2017	04	504
9	2017	06	454
9	2017	08	567
9	2017	10	520
9	2017	12	480
9	2018	02	905
9	2018	04	602
9	2018	06	529
9	2018	08	584
9	2018	10	528
9	2018	12	552
9	2019	02	718
9	2019	04	603
9	2019	06	531
9	2019	08	590
9	2019	10	626
9	2019	12	629
9	2020	02	832
9	2020	03	358
9	2020	04	359
9	2020	06	585
9	2020	07	341
9	2020	08	342
9	2020	09	313
9	2020	10	313
9	2020	11	326
9	2020	12	327
9	2021	01	460
9	2021	02	460
9	2021	03	389
9	2021	04	389
10	2014	02	478
10	2014	04	440
10	2014	06	355
10	2014	08	364
10	2014	10	370
10	2014	12	438
10	2015	02	572
10	2015	04	475
10	2015	06	387
10	2015	08	362
10	2015	10	367
10	2015	12	438
10	2016	02	542
10	2016	04	495
10	2016	06	430
10	2016	08	429
10	2016	10	315
10	2016	12	283
10	2017	02	328
10	2017	04	281
10	2017	06	255
10	2017	08	258
10	2017	10	238
10	2017	12	259
10	2018	02	409
10	2018	04	312
10	2018	06	234
10	2018	08	213
10	2018	10	207
10	2018	12	240
10	2019	02	342
10	2019	04	286
10	2019	06	240
10	2019	08	237
10	2019	10	231
10	2019	12	241
10	2020	02	354
10	2020	03	184
10	2020	04	184
10	2020	06	248
10	2020	07	139
10	2020	08	140
10	2020	09	142
10	2020	10	142
10	2020	11	163
10	2020	12	164
10	2021	01	235
10	2021	02	236
10	2021	03	187
10	2021	04	188
13	2014	02	529
13	2014	04	404
13	2014	04	77
13	2014	06	397
13	2014	08	415
13	2014	08	81
13	2014	10	366
13	2014	12	166
13	2015	02	68
13	2015	02	513
13	2015	04	313
13	2015	04	310
13	2015	06	442
13	2015	06	301
13	2015	08	706
13	2015	08	360
13	2015	10	417
13	2015	10	544
13	2015	12	301
13	2015	12	422
13	2016	02	387
13	2016	02	361
13	2016	04	321
13	2016	04	322
13	2016	06	310
13	2016	06	358
13	2016	08	573
13	2016	08	622
13	2016	10	904
13	2016	10	455
13	2016	12	226
13	2016	12	515
13	2017	02	310
13	2017	02	422
13	2017	04	495
13	2017	04	410
13	2017	06	525
13	2017	06	416
13	2017	08	436
13	2017	08	402
13	2017	10	579
13	2017	10	310
13	2017	12	249
13	2017	12	207
13	2018	02	123
13	2018	02	782
13	2018	04	68
13	2018	04	241
13	2018	06	160
13	2018	06	389
13	2018	08	216
13	2018	08	353
13	2018	10	109
13	2018	10	234
13	2018	12	147
13	2018	12	86
13	2019	02	361
13	2019	02	84
13	2019	04	374
13	2019	04	102
13	2019	06	319
13	2019	06	95
13	2019	08	299
13	2019	08	147
13	2019	10	288
13	2019	10	119
13	2019	12	234
13	2019	12	91
13	2020	02	328
13	2020	02	90
13	2020	03	225
13	2020	03	79
13	2020	04	225
13	2020	04	79
13	2020	06	323
13	2020	06	90
13	2020	07	76
13	2020	07	168
13	2020	08	77
13	2020	08	168
13	2020	09	168
13	2020	09	73
13	2020	10	73
13	2020	10	168
13	2020	11	69
13	2020	11	149
13	2020	12	150
13	2020	12	69
13	2021	01	96
13	2021	01	251
13	2021	02	97
13	2021	02	251
13	2021	03	74
13	2021	03	220
13	2021	04	74
13	2021	04	221
14	2014	02	321
14	2014	04	274
14	2014	06	90
14	2016	02	66
14	2016	03	81
14	2017	06	105
14	2017	10	127
14	2017	12	237
14	2018	02	337
14	2018	04	257
14	2018	06	246
14	2018	08	232
14	2018	10	209
14	2018	12	295
14	2019	02	447
14	2019	04	325
14	2019	06	309
14	2019	08	204
14	2019	10	220
14	2019	12	321
14	2020	02	588
14	2020	03	186
14	2020	04	186
14	2020	06	75
15	2014	01	2375
15	2014	02	2101
15	2014	03	1831
15	2014	04	2305
15	2014	05	2984
15	2014	06	2675
15	2014	07	3127
15	2014	08	3139
15	2014	09	3344
15	2014	10	3491
15	2014	11	2617
15	2014	12	3452
15	2015	01	2745
15	2015	02	2875
15	2015	03	3119
15	2015	04	3266
15	2015	05	3718
15	2015	06	3660
15	2015	07	3593
